answers_all,problem,objective,alternatives,consequences,tradeoffs
You must optimize multiple objectives when managing the reservoirs at a time when algal blooms are likely,You must optimize multiple objectives when managing the reservoirs at a time when algal blooms are likely,Provide safe drinking water,Cancel the event,Economic benefit is heavily decreased due to canceling the event,"Small loss of money due to cost of algicide, but increased economic benefit to the city from the event"
Provide safe drinking water,,Ensure swimmer safety,Continue with the event,"Ecological health (e.g., death of aquatic organisms) due to algicide treatment","Decrease in ecological health, but safe drinking water is ensured"
Ensure swimmer safety,,Maximize economic benefit,Treat the reservoir with an algicide,Compromised drinking water quality due to lack of treatment during an algal bloom,"Swimmer safety is compromised, but economic benefit and ecological health remain high due to avoiding algicide treatment"
Maximize economic benefit,,Protect ecological health,,,
Protect ecological health,,,,,
Cancel the event,,,,,
Continue with the event,,,,,
Treat the reservoir with an algicide,,,,,
Economic benefit is heavily decreased due to canceling the event,,,,,
"Decreased ecological health (e.g., death of aquatic organisms) due to algicide treatment",,,,,
Compromised drinking water quality due to lack of treatment during an algal bloom,,,,,
"Small loss of money due to cost of algicide, but increased economic benefit to the city from the event",,,,,
"Decrease in ecological health, but safe drinking water is ensured",,,,,
"Swimmer safety is compromised, but economic benefit and ecological health remain high due to avoiding algicide treatment",,,,,
